date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-05-14 04:00:00,2.8798,6.7014,1.3068,0.6776
2015-05-14 05:00:00,2.2022,10.9792,1.21,0.6292
2015-05-14 06:00:00,3.4122,6.8036,1.2342,0.4719
2015-05-14 07:00:00,3.5332,6.4532,1.1132,0.4598
2015-05-14 08:00:00,3.5453,6.8985,1.2705,1.2705
2015-05-14 09:00:00,3.6784,10.877,1.0406,0.4719
2015-05-14 10:00:00,5.7717,10.9062,0.9559,0.2783
2015-05-14 11:00:00,3.8962,6.4605,1.2221,0.3025
2015-05-14 12:00:00,19.6262,4.7523,1.1616,0.1331
2015-05-14 13:00:00,15.9478,4.5114,0.9438,1.089
2015-05-14 14:00:00,10.2124,5.402,0.9438,-0.3751
2015-05-14 15:00:00,4.0051,6.3437,0.8591,-0.4114
2015-05-14 16:00:00,2.2506,6.6722,0.9922,0.0363
2015-05-14 17:00:00,2.299,6.3948,1.0043,0.2299
2015-05-14 18:00:00,3.146,6.5846,0.9317,0.1936
2015-05-14 19:00:00,2.7709,7.8694,0.9438,0.1936
2015-05-14 20:00:00,3.0129,8.4972,1.0043,0.1573
2015-05-14 21:00:00,2.299,7.4387,1.1737,0.1936
2015-05-14 22:00:00,2.3716,4.234,1.1858,0.3146
2015-05-14 23:00:00,3.5574,4.6136,1.1737,0.5566
2015-05-15 00:00:00,29.161,4.5333,1.2463,0.5324
2015-05-15 01:00:00,29.524,3.5916,1.2705,0.3993
2015-05-15 02:00:00,6.3404,5.9203,1.2463,0.484
2015-05-15 03:00:00,6.9212,6.7233,1.2826,0.363
2015-05-15 04:00:00,5.445,5.5042,1.2463,0.3509
2015-05-15 05:00:00,2.9766,4.891,1.331,0.3509
2015-05-15 06:00:00,7.623,5.0662,1.2584,0.363
2015-05-15 07:00:00,8.6757,7.4898,1.2342,0.3993
2015-05-15 08:00:00,11.4708,6.3364,1.3068,0.363
2015-05-15 09:00:00,9.8494,9.2564,1.21,0.2783
2015-05-15 10:00:00,10.3334,8.8111,1.1253,0.4235
2015-05-15 11:00:00,NaN,6.4167,1.1374,0.4356
2015-05-15 12:00:00,9.4259,8.8403,1.0406,0.3993
2015-05-15 13:00:00,16.4318,10.0886,0.8954,0.2904
2015-05-15 14:00:00,NaN,2.1462,0.9075,0.1331
2015-05-15 15:00:00,23.1715,5.0297,0.9075,0.1815
2015-05-15 16:00:00,20.5216,4.3873,0.8712,0.2057
2015-05-15 17:00:00,13.2253,10.5339,0.9317,0.1573
2015-05-15 18:00:00,7.2842,11.0084,0.9922,0.3146
2015-05-15 19:00:00,5.1304,5.2414,1.21,0.605
2015-05-15 20:00:00,8.0223,10.658,1.2463,0.726
2015-05-15 21:00:00,5.1183,14.162,0.9075,0.484
2015-05-15 22:00:00,2.5773,13.4247,1.6698,0.4477
2015-05-15 23:00:00,2.6378,18.2281,1.1132,0.5082
2015-05-16 00:00:00,5.1425,16.425,1.4641,0.484
2015-05-16 01:00:00,29.4393,16.0016,1.2826,0.4961
2015-05-16 02:00:00,2.8072,14.6146,1.1495,0.6897
2015-05-16 03:00:00,15.0645,13.1035,1.1374,0.484
2015-05-16 04:00:00,2.2143,10.5047,1.0527,0.6171
2015-05-16 05:00:00,2.5531,10.8916,1.0648,0.5324
2015-05-16 06:00:00,NaN,9.4316,1.0769,0.484
2015-05-16 07:00:00,2.7951,10.7675,1.0769,0.605
2015-05-16 08:00:00,4.1382,6.862,1.1858,0.7986
2015-05-16 09:00:00,5.5297,10.2273,1.1011,0.4477
2015-05-16 10:00:00,12.9712,3.0879,1.1616,0.3267
2015-05-16 11:00:00,16.7827,4.9786,1.2463,0.1452
2015-05-16 12:00:00,18.4162,5.3217,1.2705,0.2299
2015-05-16 13:00:00,17.9322,7.227,1.1374,0.2904
2015-05-16 14:00:00,21.9857,7.4679,1.3552,0.1694
2015-05-16 15:00:00,8.0707,7.3803,1.2221,0.1694
2015-05-16 16:00:00,4.8884,7.5117,1.3552,0.363
2015-05-16 17:00:00,5.2635,10.0229,1.1858,-0.0242
2015-05-16 18:00:00,2.5894,8.1687,1.1374,0.3751
2015-05-16 19:00:00,2.6983,8.8841,1.0527,0.3872
2015-05-16 20:00:00,2.3595,8.6505,0.9317,0.4356
2015-05-16 21:00:00,1.6819,5.767,1.2463,0.484
2015-05-16 22:00:00,2.6499,5.2195,1.2826,0.2541
2015-05-16 23:00:00,17.6055,6.0371,1.2463,0.2904
2015-05-17 00:00:00,29.8023,3.9128,1.3673,0.3267
2015-05-17 01:00:00,NaN,9.4608,1.4157,0.2783
2015-05-17 02:00:00,18.8881,7.2343,1.4036,0.3388
2015-05-17 03:00:00,25.0349,6.6941,1.3189,0.3388
2015-05-17 04:00:00,2.2385,7.2416,1.21,0.3751
2015-05-17 05:00:00,1.7424,3.358,1.1616,0.2662
2015-05-17 06:00:00,1.8997,6.8401,1.1011,0.242
2015-05-17 07:00:00,1.8997,2.5477,1.2705,0.2662
2015-05-17 08:00:00,1.8513,2.3725,1.3673,0.3388
2015-05-17 09:00:00,1.5004,2.2703,1.4399,0.363
2015-05-17 10:00:00,2.2869,2.4747,2.2022,0.3872
2015-05-17 11:00:00,4.4891,2.1024,1.4036,0.1694
2015-05-17 12:00:00,5.8685,1.5476,1.2947,0.2299
2015-05-17 13:00:00,13.5399,1.7593,1.452,0.5929
2015-05-17 14:00:00,22.2519,1.5987,1.1132,0.4598
2015-05-17 15:00:00,4.1382,1.6206,1.0769,0.1573
2015-05-17 16:00:00,6.7518,1.6352,1.089,0.5445
2015-05-17 17:00:00,1.8513,2.0951,0.9196,0.3509
2015-05-17 18:00:00,1.4278,0.9709,0.9196,0.4961
2015-05-17 19:00:00,1.4641,1.3943,1.0285,0.3388
2015-05-17 20:00:00,1.3189,5.3947,1.1253,0.484
2015-05-17 21:00:00,NaN,4.3435,1.1979,0.2178
2015-05-17 22:00:00,1.3068,7.3073,1.3189,0.3872
2015-05-17 23:00:00,1.21,5.5845,1.331,0.5929
2015-05-18 00:00:00,1.8513,6.57,1.3431,0.484
2015-05-18 01:00:00,12.7292,5.0808,1.2463,0.4477
2015-05-18 02:00:00,10.5754,4.5844,1.5125,0.3751
2015-05-18 03:00:00,2.1538,1.4819,1.3915,0.3993
2015-05-18 04:00:00,1.8755,2.5842,1.331,0.5324
2015-05-18 05:00:00,1.7182,1.3797,1.2826,0.4961
2015-05-18 06:00:00,2.0812,1.8834,1.1011,0.5082
2015-05-18 07:00:00,1.9239,1.6425,1.3068,0.3388
2015-05-18 08:00:00,1.8755,1.6279,1.2463,0.3146
2015-05-18 09:00:00,1.8876,1.7812,1.1737,0.3751
2015-05-18 10:00:00,2.6499,2.2046,1.3915,0.2662
2015-05-18 11:00:00,1.9239,2.1608,1.331,0.3751
2015-05-18 12:00:00,17.1457,1.2483,1.1979,0.4114
2015-05-18 13:00:00,2.2869,1.1607,1.1616,0.3267
2015-05-18 14:00:00,2.2264,1.5987,0.9922,0.6171
2015-05-18 15:00:00,2.5531,1.2264,0.7986,-0.0242
